arquivo,real_kWh,previsto_kWh
amostra_1919_1988.78.csv,1988.78,2215.145
amostra_1920_1949.22.csv,1949.22,2003.4894
amostra_1923_2249.94.csv,2249.94,2094.613
amostra_1924_1500.20.csv,1500.2,1480.0652
amostra_1925_2636.71.csv,2636.71,2705.1763
amostra_1927_1633.32.csv,1633.32,1682.1321
amostra_1933_2082.87.csv,2082.87,2124.9163
amostra_1939_2528.13.csv,2528.13,2571.6125
amostra_1941_2601.92.csv,2601.92,2603.4055
amostra_1948_3000.46.csv,3000.46,3046.6843
amostra_1957_3039.74.csv,3039.74,2992.0396
amostra_1962_4000.72.csv,4000.72,4119.313
amostra_1963_2776.96.csv,2776.96,2836.477
amostra_1966_2069.99.csv,2069.99,2181.9436
amostra_1970_1147.49.csv,1147.49,1362.821
amostra_1972_3448.22.csv,3448.22,3718.157
amostra_1977_3541.04.csv,3541.04,3567.5554
amostra_1980_3520.09.csv,3520.09,3596.2258
amostra_1982_2717.19.csv,2717.19,2611.9314
amostra_1983_1591.13.csv,1591.13,1825.631
amostra_1986_3632.20.csv,3632.2,3627.2043
amostra_1993_2083.20.csv,2083.2,2084.7644
amostra_1997_1979.56.csv,1979.56,2045.6451
amostra_2001_2235.08.csv,2235.08,2386.9478
amostra_2017_1732.39.csv,1732.39,1827.778
amostra_2024_1246.16.csv,1246.16,1212.7833
amostra_2028_2437.73.csv,2437.73,2345.113
amostra_2030_1599.59.csv,1599.59,1724.0947
amostra_2031_3696.09.csv,3696.09,3747.2656
amostra_2036_2054.16.csv,2054.16,2186.027
amostra_2047_3471.49.csv,3471.49,3632.6973
amostra_2051_2007.32.csv,2007.32,1931.694
amostra_2053_2890.40.csv,2890.4,2776.6233
amostra_2060_2166.08.csv,2166.08,2398.936
amostra_2073_3617.01.csv,3617.01,3717.9873
amostra_2083_2696.74.csv,2696.74,2705.4326
amostra_2084_1465.02.csv,1465.02,1345.9368
amostra_2088_2330.42.csv,2330.42,2300.0369
amostra_2094_2834.90.csv,2834.9,2839.6448
amostra_2095_3029.50.csv,3029.5,3054.0957
amostra_2097_2276.64.csv,2276.64,2425.251
amostra_2099_1972.16.csv,1972.16,2079.96
amostra_2107_3146.28.csv,3146.28,3245.756
amostra_2110_2588.75.csv,2588.75,2765.3003
amostra_2115_1299.57.csv,1299.57,1413.1227
amostra_2120_4344.97.csv,4344.97,4348.604
amostra_2121_3115.09.csv,3115.09,3137.26
amostra_2128_2436.68.csv,2436.68,2360.0286
amostra_2129_3251.12.csv,3251.12,3290.7935
amostra_2140_2178.44.csv,2178.44,2298.0598
amostra_2147_2182.32.csv,2182.32,2341.4639
amostra_2151_1884.05.csv,1884.05,1886.0801
amostra_2156_3197.65.csv,3197.65,3270.142
amostra_2159_1465.23.csv,1465.23,1598.5419
amostra_2160_2114.10.csv,2114.1,2343.244
amostra_2164_2761.54.csv,2761.54,2884.784
amostra_2172_1859.55.csv,1859.55,2082.087
amostra_2178_2651.29.csv,2651.29,2587.446
amostra_2193_1351.73.csv,1351.73,1489.7417
amostra_2194_2937.41.csv,2937.41,3021.7195
amostra_2195_3193.36.csv,3193.36,3138.17
amostra_2204_1887.08.csv,1887.08,2076.833
amostra_2207_3462.41.csv,3462.41,3498.5999
amostra_2208_2658.11.csv,2658.11,2787.5925
amostra_2210_2060.97.csv,2060.97,2042.9479
amostra_2213_2896.55.csv,2896.55,2979.822
amostra_2218_2422.70.csv,2422.7,2675.167
amostra_2221_3329.26.csv,3329.26,3554.6042
amostra_2225_1297.78.csv,1297.78,1490.2151
amostra_2228_1310.03.csv,1310.03,1444.8319
amostra_2230_3486.69.csv,3486.69,3541.9534
amostra_2232_3806.67.csv,3806.67,3917.1113
amostra_2242_1377.44.csv,1377.44,1575.6116
amostra_2246_2072.89.csv,2072.89,2140.3804
amostra_2254_1879.69.csv,1879.69,1880.6594
amostra_2255_2231.29.csv,2231.29,2462.514
amostra_2261_3286.80.csv,3286.8,3449.7222
amostra_2264_1257.38.csv,1257.38,1405.8834
amostra_2278_2386.39.csv,2386.39,2591.839
amostra_2279_2825.71.csv,2825.71,2895.9553
amostra_2281_1665.99.csv,1665.99,1748.9655
amostra_2291_3662.89.csv,3662.89,3864.691
amostra_2293_3114.00.csv,3114.0,3280.3025
amostra_2300_2285.80.csv,2285.8,2351.213
amostra_2304_1832.34.csv,1832.34,2034.6201
amostra_2307_2240.28.csv,2240.28,2335.5315
amostra_2312_2320.95.csv,2320.95,2153.683
amostra_2320_2481.48.csv,2481.48,2621.5425
amostra_2321_2167.83.csv,2167.83,2171.4094
amostra_2324_4069.69.csv,4069.69,4087.9324
amostra_2336_2451.85.csv,2451.85,2615.5757
amostra_2338_3181.07.csv,3181.07,3162.8943
